USA,1,,United States," 17,419,000 ",,,,,
CHN,2,,China," 10,354,832 ",,,,,
JPN,3,,Japan," 4,601,461 ",,,,,
DEU,4,,Germany," 3,868,291 ",,,,,
GBR,5,,United Kingdom," 2,988,893 ",,,,,
FRA,6,,France," 2,829,192 ",,,,,
BRA,7,,Brazil," 2,416,636 ",,,,,
ITA,8,,Italy," 2,141,161 ",,,,,
IND,9,,India," 2,048,517 ",,,,,
RUS,10,,Russian Federation," 1,860,598 ",a,,,,
CAN,11,,Canada," 1,785,387 ",,,,,
AUS,12,,Australia," 1,454,675 ",,,,,
KOR,13,,"Korea, Rep."," 1,410,383 ",,,,,
ESP,14,,Spain," 1,381,342 ",,,,,
MEX,15,,Mexico," 1,294,690 ",,,,,
IDN,16,,Indonesia," 888,538 ",,,,,
NLD,17,,Netherlands," 879,319 ",,,,,
TUR,18,,Turkey," 798,429 ",,,,,
SAU,19,,Saudi Arabia," 753,832 ",,,,,
CHE,20,,Switzerland," 701,037 ",,,,,
SWE,21,,Sweden," 571,090 ",,,,,
NGA,22,,Nigeria," 568,508 ",,,,,
POL,23,,Poland," 544,967 ",,,,,
ARG,24,,Argentina," 537,660 ",,,,,
BEL,25,,Belgium," 531,547 ",,,,,
NOR,26,,Norway," 499,817 ",,,,,
AUT,27,,Austria," 436,888 ",,,,,
IRN,28,,"Iran, Islamic Rep."," 425,326 ",,,,,
THA,29,,Thailand," 404,824 ",,,,,
ARE,30,,United Arab Emirates," 399,451 ",,,,,
VEN,31,,"Venezuela, RB"," 381,286 ",,,,,
COL,32,,Colombia," 377,740 ",,,,,
ZAF,,,South Africa," 350,141 ",,,,,
DNK,34,,Denmark," 342,362 ",,,,,
MYS,35,,Malaysia," 338,104 ",,,,,
SGP,36,,Singapore," 307,860 ",,,,,
ISR,37,,Israel," 305,675 ",,,,,
EGY,,,"Egypt, Arab Rep."," 301,499 ",,,,,
HKG,39,,"Hong Kong SAR, China"," 290,896 ",,,,,
PHL,40,,Philippines," 284,777 ",,,,,
FIN,41,,Finland," 272,217 ",,,,,
CHL,42,,Chile," 258,062 ",,,,,
IRL,43,,Ireland," 250,814 ",,,,,
PAK,,,Pakistan," 243,632 ",,,,,
GRC,45,,Greece," 235,574 ",,,,,
PRT,4,,Portugal," 230,117 ",,,,,
IRQ,47,,Iraq," 223,500 ",,,,,
KAZ,48,,Kazakhstan," 217,872 ",,,,,
DZA,49,,Algeria," 213,518 ",,,,,
QAT,50,,Qatar," 210,109 ",,,,,
CZE,51,,Czech Republic," 205,270 ",,,,,
PER,52,,Peru," 202,596 ",,,,,
NZL,53,,New Zealand," 199,970 ",,,,,
ROM,54,,Romania," 199,044 ",,,,,
VNM,55,,Vietnam," 186,205 ",,,,,
BGD,56,,Bangladesh," 172,887 ",,,,,
KWT,57,,Kuwait," 163,612 ",,,,,
AGO,58,,Angola," 138,357 ",,,,,
HUN,59,,Hungary," 138,347 ",,,,,
UKR,60,,Ukraine," 131,805 ",a,,,,
MAR,61,,Morocco," 110,009 ",b,,,,
PRI,62,,Puerto Rico," 103,135 ",,,,,
ECU,63,,Ecuador," 100,917 ",,,,,
SVK,64,,Slovak Republic," 100,249 ",,,,,
OMN,65,,Oman," 81,797 ",,,,,
LKA,66,,Sri Lanka," 78,824 ",,,,,
CUB,67,,Cuba," 77,150 ",,,,,
BLR,68,,Belarus," 76,139 ",,,,,
AZE,69,,Azerbaijan," 75,198 ",,,,,
SDN,70,,Sudan," 73,815 ",,,,,
LUX,71,,Luxembourg," 64,874 ",,,,,
MMR,72,,Myanmar," 64,330 ",,,,,
DOM,73,,Dominican Republic," 64,138 ",,,,,
UZB,74,,Uzbekistan," 62,644 ",,,,,
KEN,75,,Kenya," 60,937 ",,,,,
GTM,76,,Guatemala," 58,827 ",,,,,
URY,77,,Uruguay," 57,471 ",,,,,
HRV,78,,Croatia," 57,113 ",,,,,
BGR,79,,Bulgaria," 56,717 ",,,,,
ETH,80,,Ethiopia," 55,612 ",,,,,
MAC,81,,"Macao SAR, China"," 55,502 ",,,,,
CRI,82,,Costa Rica," 49,553 ",,,,,
SVN,83,,Slovenia," 49,491 ",,,,,
TUN,84,,Tunisia," 48,613 ",,,,,
LTU,85,,Lithuania," 48,354 ",,,,,
TZA,86,,Tanzania," 48,057 ",c,,,,
TKM,87,,Turkmenistan," 47,932 ",,,,,
PAN,88,,Panama," 46,213 ",,,,,
LBN,89,,Lebanon," 45,731 ",,,,,
SRB,90,,Serbia," 43,866 ",,,,,
LBY,91,,Libya," 41,143 ",,,,,
